ESP-ROM:esp32s31-20251218
Build:Dec 18 2025
rst:0x1 (POWERON),boot:0x79 (SPI_FAST_FLASH_BOOT)
SPI mode:DIO, clock div:1
load:0x2f000000,len:0x8d9c
load:0x2f008e00,len:0x2ad8
entry 0x2f0089de
*** Booting NuttX ***
dram: lma 0x00002020 vma 0x2f000000 len 0x8d9c   (36252)
dram: lma 0x0000adc4 vma 0x2f008e00 len 0x2ad8   (10968)
padd: lma 0x0000d8c8 vma 0x00000000 len 0x2750   (10064)
imap: lma 0x00010020 vma 0x40030020 len 0x85c4   (34244)
padd: lma 0x000185ec vma 0x00000000 len 0x7b0c   (31500)
imap: lma 0x00020100 vma 0x40000100 len 0x2abd4  (175060)
total segments stored 6
ABCS31 LCD: NuttX framebuffer 800x480 RGB565 pclk=18000000, two DMA scan buffers, raw link-switch polling
OPENVELA_FB_READY /dev/fb0 RGB565 800x480
S31 DVP controller prepared: 640x480 RGB565, 614400 bytes
S31 camera SCCB sensor ID: 0x3660

NuttShell (NSH)
nsh> [Ks31preview --frames 600
s31preview: video=/dev/video0 640x480 RGB565 stride=1280 bytes=614400 buffers=2 fb=/dev/fb0 800x480 stride=1600 x=80 frames=600 timeout_ms=3000
S31 LCD: UPDATE_STAGE=copy
S31 LCD: UPDATE_STAGE=cache-writeback
S31 LCD: UPDATE_STAGE=link-request channel=0
S31 LCD: UPDATE_STAGE=link-wait
S31 LCD: UPDATE_STAGE=complete raw=00000403
s31preview: frame=130 buffer=1 capture_time=39.350000 elapsed_ms=29530 bytesused=614400 fnv1a32=f43cfdf2 update=OK
s31preview: frame=131 buffer=0 capture_time=39.570000 elapsed_ms=29760 bytesused=614400 fnv1a32=c5ae7b1a update=OK
s31preview: frame=132 buffer=1 capture_time=39.800000 elapsed_ms=29980 bytesused=614400 fnv1a32=62db719c update=OK
s31preview: frame=133 buffer=0 capture_time=40.020000 elapsed_ms=30210 bytesused=614400 fnv1a32=6f5ed5ff update=OK
s31preview: frame=134 buffer=1 capture_time=40.250000 elapsed_ms=30430 bytesused=614400 fnv1a32=c4416913 update=OK
s31preview: frame=135 buffer=0 capture_time=40.470000 elapsed_ms=30660 bytesused=614400 fnv1a32=f0e9c4fa update=OK
s31preview: frame=136 buffer=1 capture_time=40.700000 elapsed_ms=30880 bytesused=614400 fnv1a32=3b317082 update=OK
s31preview: frame=137 buffer=0 capture_time=40.920000 elapsed_ms=31110 bytesused=614400 fnv1a32=620f3c87 update=OK
s31preview: frame=138 buffer=1 capture_time=41.150000 elapsed_ms=31350 bytesused=614400 fnv1a32=01ce5b02 update=OK
s31preview: frame=139 buffer=0 capture_time=41.370000 elapsed_ms=31560 bytesused=614400 fnv1a32=0161b607 update=OK
s31preview: frame=140 buffer=1 capture_time=41.600000 elapsed_ms=31800 bytesused=614400 fnv1a32=9a5b44d0 update=OK
s31preview: frame=141 buffer=0 capture_time=41.820000 elapsed_ms=32020 bytesused=614400 fnv1a32=26ab775e update=OK
s31preview: frame=142 buffer=1 capture_time=42.050000 elapsed_ms=32250 bytesused=614400 fnv1a32=0306b41d update=OK
s31preview: frame=143 buffer=0 capture_time=42.270000 elapsed_ms=32470 bytesused=614400 fnv1a32=86978652 update=OK
s31preview: frame=144 buffer=1 capture_time=42.500000 elapsed_ms=32700 bytesused=614400 fnv1a32=7351b9ba update=OK
s31preview: frame=145 buffer=0 capture_time=42.720000 elapsed_ms=32920 bytesused=614400 fnv1a32=09a7d727 update=OK
s31preview: frame=146 buffer=1 capture_time=42.950000 elapsed_ms=33150 bytesused=614400 fnv1a32=dd59aea1 update=OK
s31preview: frame=147 buffer=0 capture_time=43.170000 elapsed_ms=33380 bytesused=614400 fnv1a32=aa18c50a update=OK
s31preview: frame=148 buffer=1 capture_time=43.400000 elapsed_ms=33600 bytesused=614400 fnv1a32=c301ffb5 update=OK
s31preview: frame=149 buffer=0 capture_time=43.620000 elapsed_ms=33830 bytesused=614400 fnv1a32=172b61a9 update=OK
s31preview: frame=150 buffer=1 capture_time=43.850000 elapsed_ms=34050 bytesused=614400 fnv1a32=1a8418dd update=OK
s31preview: frame=151 buffer=0 capture_time=44.070000 elapsed_ms=34280 bytesused=614400 fnv1a32=170da45b update=OK
s31preview: frame=152 buffer=1 capture_time=44.300000 elapsed_ms=34480 bytesused=614400 fnv1a32=d49fd753 update=OK
s31preview: frame=153 buffer=0 capture_time=44.520000 elapsed_ms=34710 bytesused=614400 fnv1a32=f1df7186 update=OK
s31preview: frame=154 buffer=1 capture_time=44.750000 elapsed_ms=34930 bytesused=614400 fnv1a32=118f7027 update=OK
s31preview: frame=155 buffer=0 capture_time=44.970000 elapsed_ms=35160 bytesused=614400 fnv1a32=13894c12 update=OK
s31preview: frame=156 buffer=1 capture_time=45.200000 elapsed_ms=35380 bytesused=614400 fnv1a32=ac407075 update=OK
s31preview: frame=157 buffer=0 capture_time=45.420000 elapsed_ms=35610 bytesused=614400 fnv1a32=313a11ae update=OK
s31preview: frame=158 buffer=1 capture_time=45.650000 elapsed_ms=35830 bytesused=614400 fnv1a32=f5c2988c update=OK
s31preview: frame=159 buffer=0 capture_time=45.870000 elapsed_ms=36060 bytesused=614400 fnv1a32=090e8aaa update=OK
s31preview: frame=160 buffer=1 capture_time=46.110000 elapsed_ms=36290 bytesused=614400 fnv1a32=65c72a2a update=OK
s31preview: frame=161 buffer=0 capture_time=46.320000 elapsed_ms=36510 bytesused=614400 fnv1a32=9cba6d1f update=OK
s31preview: frame=162 buffer=1 capture_time=46.560000 elapsed_ms=36740 bytesused=614400 fnv1a32=82ece95e update=OK
s31preview: frame=163 buffer=0 capture_time=46.770000 elapsed_ms=36960 bytesused=614400 fnv1a32=acd7daed update=OK
s31preview: frame=164 buffer=1 capture_time=47.010000 elapsed_ms=37190 bytesused=614400 fnv1a32=9fc9373b update=OK
s31preview: frame=165 buffer=0 capture_time=47.220000 elapsed_ms=37410 bytesused=614400 fnv1a32=82f028b2 update=OK
