------------------------------------------------------------
Server listening on UDP port 5004
UDP buffer size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5004 connected with 192.168.1.60 port 23555
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 130.00-131.00 sec  40.2 KBytes   329 Kbits/sec  32.661 ms 0/28 (0%)
[  1] 131.00-132.00 sec  31.6 KBytes   259 Kbits/sec  40.015 ms 0/22 (0%)
[  1] 132.00-133.00 sec  37.3 KBytes   306 Kbits/sec  33.378 ms 0/26 (0%)
[  1] 133.00-134.00 sec  34.5 KBytes   282 Kbits/sec  31.240 ms 0/24 (0%)
[  1] 134.00-135.00 sec  31.6 KBytes   259 Kbits/sec  29.882 ms 0/22 (0%)
[  1] 135.00-136.00 sec  38.8 KBytes   318 Kbits/sec  28.810 ms 0/27 (0%)
[  1] 136.00-137.00 sec  37.3 KBytes   306 Kbits/sec  21.611 ms 0/26 (0%)
[  1] 137.00-138.00 sec  35.9 KBytes   294 Kbits/sec  28.961 ms 0/25 (0%)
[  1] 138.00-139.00 sec  35.9 KBytes   294 Kbits/sec  28.795 ms 0/25 (0%)
[  1] 139.00-140.00 sec  38.8 KBytes   318 Kbits/sec  32.652 ms 0/27 (0%)
[  1] 140.00-141.00 sec  43.1 KBytes   353 Kbits/sec  23.575 ms 0/30 (0%)
[  1] 141.00-142.00 sec  45.9 KBytes   376 Kbits/sec  25.580 ms 0/32 (0%)
[  1] 142.00-143.00 sec  34.5 KBytes   282 Kbits/sec  29.986 ms 0/24 (0%)
[  1] 143.00-144.00 sec  30.1 KBytes   247 Kbits/sec  36.307 ms 0/21 (0%)
[  1] 144.00-145.00 sec  37.3 KBytes   306 Kbits/sec  25.521 ms 0/26 (0%)
[  1] 145.00-146.00 sec  47.4 KBytes   388 Kbits/sec  30.017 ms 0/33 (0%)
[  1] 146.00-147.00 sec  34.5 KBytes   282 Kbits/sec  28.039 ms 0/24 (0%)
[  1] 147.00-148.00 sec  31.6 KBytes   259 Kbits/sec  35.952 ms 0/22 (0%)
[  1] 148.00-149.00 sec  31.6 KBytes   259 Kbits/sec  32.051 ms 0/22 (0%)
[  1] 149.00-150.00 sec  33.0 KBytes   270 Kbits/sec  38.308 ms 0/23 (0%)
[  1] 150.00-151.00 sec  47.4 KBytes   388 Kbits/sec  25.018 ms 0/33 (0%)
[  1] 151.00-152.00 sec  44.5 KBytes   365 Kbits/sec  31.969 ms 0/31 (0%)
[  1] 152.00-153.00 sec  43.1 KBytes   353 Kbits/sec  23.411 ms 0/30 (0%)
[  1] 153.00-154.00 sec  35.9 KBytes   294 Kbits/sec  28.280 ms 0/25 (0%)
[  1] 154.00-155.00 sec  31.6 KBytes   259 Kbits/sec  29.953 ms 0/22 (0%)
[  1] 155.00-156.00 sec  31.6 KBytes   259 Kbits/sec  32.775 ms 0/22 (0%)
[  1] 156.00-157.00 sec  31.6 KBytes   259 Kbits/sec  34.745 ms 0/22 (0%)
[  1] 157.00-158.00 sec  33.0 KBytes   270 Kbits/sec  34.958 ms 0/23 (0%)
[  1] 158.00-159.00 sec  28.7 KBytes   235 Kbits/sec  32.202 ms 0/20 (0%)
[  1] 159.00-160.00 sec  35.9 KBytes   294 Kbits/sec  37.781 ms 0/25 (0%)
[  1] 160.00-161.00 sec  33.0 KBytes   270 Kbits/sec  35.956 ms 0/23 (0%)
[  1] 161.00-162.00 sec  40.2 KBytes   329 Kbits/sec  31.546 ms 0/28 (0%)
[  1] 162.00-163.00 sec  45.9 KBytes   376 Kbits/sec  24.613 ms 0/32 (0%)
[  1] 163.00-164.00 sec  34.5 KBytes   282 Kbits/sec  26.523 ms 0/24 (0%)
[  1] 164.00-165.00 sec  56.0 KBytes   459 Kbits/sec  27.285 ms 0/39 (0%)
[  1] 165.00-166.00 sec  45.9 KBytes   376 Kbits/sec  21.431 ms 0/32 (0%)
[  1] 166.00-167.00 sec  40.2 KBytes   329 Kbits/sec  18.301 ms 0/28 (0%)
[  1] 167.00-168.00 sec  31.6 KBytes   259 Kbits/sec  24.538 ms 0/22 (0%)
[  1] 168.00-169.00 sec  34.5 KBytes   282 Kbits/sec  35.414 ms 0/24 (0%)
[  1] 169.00-170.00 sec  30.1 KBytes   247 Kbits/sec  46.561 ms 0/21 (0%)
[  1] 170.00-171.00 sec  34.5 KBytes   282 Kbits/sec  36.708 ms 1/25 (4%)
[  1] 171.00-172.00 sec  43.1 KBytes   353 Kbits/sec  29.869 ms 0/30 (0%)
[  1] 172.00-173.00 sec  35.9 KBytes   294 Kbits/sec  25.577 ms 0/25 (0%)
[  1] 173.00-174.00 sec  43.1 KBytes   353 Kbits/sec  33.670 ms 0/30 (0%)
[  1] 174.00-175.00 sec  34.5 KBytes   282 Kbits/sec  33.687 ms 0/24 (0%)
[  1] 175.00-176.00 sec  35.9 KBytes   294 Kbits/sec  33.210 ms 0/25 (0%)
[  1] 176.00-177.00 sec  28.7 KBytes   235 Kbits/sec  44.163 ms 0/20 (0%)
[  1] 177.00-178.00 sec  34.5 KBytes   282 Kbits/sec  32.063 ms 0/24 (0%)
[  1] 178.00-179.00 sec  33.0 KBytes   270 Kbits/sec  44.323 ms 0/23 (0%)
[  1] 179.00-180.00 sec  35.9 KBytes   294 Kbits/sec  34.603 ms 0/25 (0%)
[  1] 180.00-181.00 sec  35.9 KBytes   294 Kbits/sec  30.178 ms 0/25 (0%)
[  1] 181.00-182.00 sec  31.6 KBytes   259 Kbits/sec  30.130 ms 0/22 (0%)
[  1] 182.00-183.00 sec  38.8 KBytes   318 Kbits/sec  31.691 ms 0/27 (0%)
[  1] 183.00-184.00 sec  28.7 KBytes   235 Kbits/sec  36.829 ms 0/20 (0%)
[  1] 184.00-185.00 sec  33.0 KBytes   270 Kbits/sec  38.479 ms 0/23 (0%)
[  1] 185.00-186.00 sec  48.8 KBytes   400 Kbits/sec  43.280 ms 0/34 (0%)
[  1] 186.00-187.00 sec  33.0 KBytes   270 Kbits/sec  33.648 ms 0/23 (0%)
[  1] 187.00-188.00 sec  31.6 KBytes   259 Kbits/sec  28.769 ms 0/22 (0%)
[  1] 188.00-189.00 sec  40.2 KBytes   329 Kbits/sec  27.086 ms 0/28 (0%)
[  1] 189.00-190.00 sec  37.3 KBytes   306 Kbits/sec  29.763 ms 0/26 (0%)
[  1] 190.00-191.00 sec  27.3 KBytes   223 Kbits/sec  33.236 ms 0/19 (0%)
[  1] 191.00-192.00 sec  31.6 KBytes   259 Kbits/sec  30.269 ms 0/22 (0%)
[  1] 192.00-193.00 sec  17.2 KBytes   141 Kbits/sec  38.953 ms 0/12 (0%)
