------------------------------------------------------------
Server listening on UDP port 5004
UDP buffer size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5004 connected with 192.168.1.60 port 13370
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 135.00-136.00 sec   449 KBytes  3.68 Mbits/sec   3.978 ms 0/313 (0%)
[  1] 136.00-137.00 sec   435 KBytes  3.56 Mbits/sec   3.508 ms 0/303 (0%)
[  1] 137.00-138.00 sec   479 KBytes  3.93 Mbits/sec   4.172 ms 0/334 (0%)
[  1] 138.00-139.00 sec   448 KBytes  3.67 Mbits/sec   3.992 ms 0/312 (0%)
[  1] 139.00-140.00 sec   462 KBytes  3.79 Mbits/sec   3.277 ms 0/322 (0%)
[  1] 140.00-141.00 sec   449 KBytes  3.68 Mbits/sec   3.085 ms 0/313 (0%)
[  1] 141.00-142.00 sec   446 KBytes  3.66 Mbits/sec   2.682 ms 0/311 (0%)
[  1] 142.00-143.00 sec   458 KBytes  3.75 Mbits/sec   4.824 ms 0/319 (0%)
[  1] 143.00-144.00 sec   478 KBytes  3.92 Mbits/sec   3.513 ms 1/334 (0.3%)
[  1] 144.00-145.00 sec   462 KBytes  3.79 Mbits/sec   2.563 ms 0/322 (0%)
[  1] 145.00-146.00 sec   471 KBytes  3.86 Mbits/sec   3.505 ms 0/328 (0%)
[  1] 146.00-147.00 sec   454 KBytes  3.72 Mbits/sec   3.235 ms 0/316 (0%)
[  1] 147.00-148.00 sec   458 KBytes  3.75 Mbits/sec   3.783 ms 0/319 (0%)
[  1] 148.00-149.00 sec   459 KBytes  3.76 Mbits/sec   2.819 ms 0/320 (0%)
[  1] 149.00-150.00 sec   458 KBytes  3.75 Mbits/sec   3.686 ms 0/319 (0%)
[  1] 150.00-151.00 sec   458 KBytes  3.75 Mbits/sec   3.784 ms 0/319 (0%)
[  1] 151.00-152.00 sec   468 KBytes  3.83 Mbits/sec   3.648 ms 0/326 (0%)
[  1] 151.00-152.00 sec  1 datagrams received out-of-order
[  1] 152.00-153.00 sec   462 KBytes  3.79 Mbits/sec   3.305 ms 0/322 (0%)
[  1] 153.00-154.00 sec   461 KBytes  3.77 Mbits/sec   3.391 ms 0/321 (0%)
[  1] 154.00-155.00 sec   455 KBytes  3.73 Mbits/sec   3.707 ms 0/317 (0%)
[  1] 155.00-156.00 sec   464 KBytes  3.80 Mbits/sec   3.298 ms 0/323 (0%)
[  1] 156.00-157.00 sec   446 KBytes  3.66 Mbits/sec   4.176 ms 0/311 (0%)
[  1] 157.00-158.00 sec   469 KBytes  3.85 Mbits/sec   3.706 ms 0/327 (0%)
[  1] 157.00-158.00 sec  1 datagrams received out-of-order
[  1] 158.00-159.00 sec   444 KBytes  3.63 Mbits/sec   4.601 ms 0/309 (0%)
[  1] 159.00-160.00 sec   464 KBytes  3.80 Mbits/sec   4.086 ms 0/323 (0%)
[  1] 160.00-161.00 sec   461 KBytes  3.77 Mbits/sec   4.242 ms 0/321 (0%)
[  1] 161.00-162.00 sec   458 KBytes  3.75 Mbits/sec   3.824 ms 0/319 (0%)
[  1] 162.00-163.00 sec   457 KBytes  3.74 Mbits/sec   3.690 ms 0/318 (0%)
[  1] 163.00-164.00 sec   468 KBytes  3.83 Mbits/sec   3.935 ms 0/326 (0%)
[  1] 164.00-165.00 sec   468 KBytes  3.83 Mbits/sec   3.464 ms 0/326 (0%)
[  1] 165.00-166.00 sec   446 KBytes  3.66 Mbits/sec   3.337 ms 0/311 (0%)
[  1] 166.00-167.00 sec   465 KBytes  3.81 Mbits/sec   3.329 ms 0/324 (0%)
[  1] 167.00-168.00 sec   461 KBytes  3.77 Mbits/sec   3.437 ms 0/321 (0%)
[  1] 168.00-169.00 sec   457 KBytes  3.74 Mbits/sec   3.462 ms 0/318 (0%)
[  1] 169.00-170.00 sec   474 KBytes  3.88 Mbits/sec   3.752 ms 0/330 (0%)
[  1] 170.00-171.00 sec   455 KBytes  3.73 Mbits/sec   3.741 ms 0/317 (0%)
[  1] 171.00-172.00 sec   452 KBytes  3.70 Mbits/sec   3.793 ms 0/315 (0%)
[  1] 172.00-173.00 sec   454 KBytes  3.72 Mbits/sec   3.804 ms 0/316 (0%)
[  1] 173.00-174.00 sec   448 KBytes  3.67 Mbits/sec   3.505 ms 0/312 (0%)
[  1] 174.00-175.00 sec   455 KBytes  3.73 Mbits/sec   2.673 ms 0/317 (0%)
[  1] 175.00-176.00 sec   459 KBytes  3.76 Mbits/sec   3.917 ms 0/320 (0%)
[  1] 176.00-177.00 sec   458 KBytes  3.75 Mbits/sec   4.199 ms 0/319 (0%)
[  1] 177.00-178.00 sec   462 KBytes  3.79 Mbits/sec   4.288 ms 0/322 (0%)
[  1] 178.00-179.00 sec   419 KBytes  3.43 Mbits/sec   3.897 ms 0/292 (0%)
[  1] 179.00-180.00 sec   472 KBytes  3.87 Mbits/sec   5.081 ms 0/329 (0%)
[  1] 180.00-181.00 sec   471 KBytes  3.86 Mbits/sec   3.562 ms 0/328 (0%)
[  1] 181.00-182.00 sec   462 KBytes  3.79 Mbits/sec   4.709 ms 0/322 (0%)
[  1] 182.00-183.00 sec   454 KBytes  3.72 Mbits/sec   4.090 ms 0/316 (0%)
[  1] 183.00-184.00 sec   469 KBytes  3.85 Mbits/sec   3.729 ms 0/327 (0%)
[  1] 184.00-185.00 sec   449 KBytes  3.68 Mbits/sec   4.770 ms 0/313 (0%)
[  1] 185.00-186.00 sec   455 KBytes  3.73 Mbits/sec   3.807 ms 0/317 (0%)
[  1] 186.00-187.00 sec   455 KBytes  3.73 Mbits/sec   3.505 ms 0/317 (0%)
[  1] 187.00-188.00 sec   461 KBytes  3.77 Mbits/sec   3.975 ms 0/321 (0%)
[  1] 188.00-189.00 sec   458 KBytes  3.75 Mbits/sec   3.906 ms 0/319 (0%)
[  1] 189.00-190.00 sec   438 KBytes  3.59 Mbits/sec   3.637 ms 0/305 (0%)
[  1] 190.00-191.00 sec   477 KBytes  3.90 Mbits/sec   3.906 ms 0/332 (0%)
[  1] 191.00-192.00 sec   451 KBytes  3.69 Mbits/sec   4.179 ms 6/320 (1.9%)
[  1] 192.00-193.00 sec   421 KBytes  3.45 Mbits/sec   3.534 ms 0/293 (0%)
[  1] 193.00-194.00 sec   487 KBytes  3.99 Mbits/sec   4.254 ms 0/339 (0%)
[  1] 194.00-195.00 sec   482 KBytes  3.95 Mbits/sec   3.797 ms 0/336 (0%)
[  1] 195.00-196.00 sec   477 KBytes  3.90 Mbits/sec   4.409 ms 2/334 (0.6%)
[  1] 196.00-197.00 sec   461 KBytes  3.77 Mbits/sec   3.995 ms 0/321 (0%)
[  1] 197.00-198.00 sec   439 KBytes  3.60 Mbits/sec   4.188 ms 0/306 (0%)
[  1] 198.00-199.00 sec   458 KBytes  3.75 Mbits/sec   4.095 ms 0/319 (0%)
[  1] 199.00-200.00 sec   431 KBytes  3.53 Mbits/sec   4.514 ms 0/300 (0%)
[  1] 200.00-201.00 sec   517 KBytes  4.23 Mbits/sec   3.858 ms 0/360 (0%)
[  1] 201.00-202.00 sec   471 KBytes  3.86 Mbits/sec   3.974 ms 0/328 (0%)
[  1] 202.00-203.00 sec   459 KBytes  3.76 Mbits/sec   3.973 ms 0/320 (0%)
[  1] 203.00-204.00 sec   449 KBytes  3.68 Mbits/sec   4.300 ms 0/313 (0%)
[  1] 204.00-205.00 sec   462 KBytes  3.79 Mbits/sec   2.970 ms 0/322 (0%)
[  1] 205.00-206.00 sec   471 KBytes  3.86 Mbits/sec   4.095 ms 0/328 (0%)
[  1] 206.00-207.00 sec   455 KBytes  3.73 Mbits/sec   3.451 ms 0/317 (0%)
[  1] 207.00-208.00 sec   451 KBytes  3.69 Mbits/sec   4.305 ms 0/314 (0%)
[  1] 208.00-209.00 sec   448 KBytes  3.67 Mbits/sec   4.442 ms 0/312 (0%)
[  1] 209.00-210.00 sec   464 KBytes  3.80 Mbits/sec   5.358 ms 0/323 (0%)
[  1] 210.00-211.00 sec   464 KBytes  3.80 Mbits/sec   3.950 ms 0/323 (0%)
[  1] 211.00-212.00 sec   458 KBytes  3.75 Mbits/sec   4.169 ms 0/319 (0%)
[  1] 212.00-213.00 sec   458 KBytes  3.75 Mbits/sec   3.860 ms 0/319 (0%)
[  1] 213.00-214.00 sec   469 KBytes  3.85 Mbits/sec   3.446 ms 0/327 (0%)
