------------------------------------------------------------
Server listening on TCP port 2224
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  1] local 172.31.208.211 port 2224 connected with 172.31.208.1 port 3895 (icwnd/mss/irtt=14/1452/305)
[ ID] Interval       Transfer     Bandwidth
[  1] 138.00-139.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 139.00-140.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 140.00-141.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 141.00-142.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 142.00-143.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 143.00-144.00 sec  22.8 KBytes   187 Kbits/sec
[  1] 144.00-145.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 145.00-146.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 146.00-147.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 147.00-148.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 148.00-149.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 149.00-150.00 sec  22.8 KBytes   187 Kbits/sec
[  1] 150.00-151.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 151.00-152.00 sec  24.2 KBytes   199 Kbits/sec
[  1] 152.00-153.00 sec  21.4 KBytes   175 Kbits/sec
[  1] 153.00-154.00 sec  12.8 KBytes   105 Kbits/sec
[  1] 154.00-155.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 155.00-156.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 156.00-157.00 sec  24.2 KBytes   199 Kbits/sec
[  1] 157.00-158.00 sec  22.8 KBytes   187 Kbits/sec
[  1] 158.00-159.00 sec  24.2 KBytes   199 Kbits/sec
[  1] 159.00-160.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 160.00-161.00 sec  24.2 KBytes   199 Kbits/sec
[  1] 161.00-162.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 162.00-163.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 163.00-164.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 164.00-165.00 sec  24.2 KBytes   199 Kbits/sec
[  1] 165.00-166.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 166.00-167.00 sec  25.7 KBytes   210 Kbits/sec
[  1] 167.00-168.00 sec  22.8 KBytes   187 Kbits/sec
[  1] 168.00-169.00 sec  22.8 KBytes   187 Kbits/sec
[  1] 169.00-170.00 sec  25.7 KBytes   210 Kbits/sec
[  1] 170.00-171.00 sec  22.8 KBytes   187 Kbits/sec
[  1] 171.00-172.00 sec  24.2 KBytes   199 Kbits/sec
[  1] 172.00-173.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 173.00-174.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 174.00-175.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 175.00-176.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 176.00-177.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 177.00-178.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 178.00-179.00 sec  32.8 KBytes   269 Kbits/sec
[  1] 179.00-180.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 180.00-181.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 181.00-182.00 sec  38.5 KBytes   315 Kbits/sec
[  1] 182.00-183.00 sec  35.6 KBytes   292 Kbits/sec
[  1] 183.00-184.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 184.00-185.00 sec  31.4 KBytes   257 Kbits/sec
[  1] 185.00-186.00 sec  25.7 KBytes   210 Kbits/sec
[  1] 186.00-187.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 187.00-188.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 188.00-189.00 sec  32.8 KBytes   269 Kbits/sec
[  1] 189.00-190.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 190.00-191.00 sec  24.2 KBytes   199 Kbits/sec
[  1] 191.00-192.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 192.00-193.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 193.00-194.00 sec  25.7 KBytes   210 Kbits/sec
[  1] 194.00-195.00 sec  31.4 KBytes   257 Kbits/sec
[  1] 195.00-196.00 sec  22.8 KBytes   187 Kbits/sec
[  1] 196.00-197.00 sec  24.2 KBytes   199 Kbits/sec
[  1] 197.00-198.00 sec  22.8 KBytes   187 Kbits/sec
[  1] 198.00-199.00 sec  22.8 KBytes   187 Kbits/sec
[  1] 199.00-200.00 sec  22.8 KBytes   187 Kbits/sec
[  1] 200.00-201.00 sec  21.4 KBytes   175 Kbits/sec
[  1] 201.00-202.00 sec  22.8 KBytes   187 Kbits/sec
[  1] 202.00-203.00 sec  20.0 KBytes   164 Kbits/sec
[  1] 203.00-204.00 sec  21.4 KBytes   175 Kbits/sec
[  1] 204.00-205.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 205.00-206.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 206.00-207.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 207.00-208.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 208.00-209.00 sec  24.2 KBytes   199 Kbits/sec
[  1] 209.00-210.00 sec  25.7 KBytes   210 Kbits/sec
[  1] 210.00-211.00 sec  24.2 KBytes   199 Kbits/sec
[  1] 211.00-212.00 sec  21.4 KBytes   175 Kbits/sec
[  1] 212.00-213.00 sec  20.0 KBytes   164 Kbits/sec
[  1] 213.00-214.00 sec  25.7 KBytes   210 Kbits/sec
[  1] 214.00-215.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 215.00-216.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 216.00-217.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 217.00-218.00 sec  24.2 KBytes   199 Kbits/sec
[  1] 218.00-219.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 219.00-220.00 sec  22.8 KBytes   187 Kbits/sec
[  1] 220.00-221.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 221.00-222.00 sec  38.5 KBytes   315 Kbits/sec
[  1] 222.00-223.00 sec  34.2 KBytes   280 Kbits/sec
[  1] 223.00-224.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 224.00-225.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 225.00-226.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 226.00-227.00 sec  32.8 KBytes   269 Kbits/sec
[  1] 227.00-228.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 228.00-229.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 229.00-230.00 sec  39.9 KBytes   327 Kbits/sec
[  1] 230.00-231.00 sec  39.9 KBytes   327 Kbits/sec
[  1] 231.00-232.00 sec  32.8 KBytes   269 Kbits/sec
[  1] 232.00-233.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 233.00-234.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 234.00-235.00 sec  32.8 KBytes   269 Kbits/sec
[  1] 235.00-236.00 sec  39.9 KBytes   327 Kbits/sec
[  1] 236.00-237.00 sec  34.2 KBytes   280 Kbits/sec
[  1] 237.00-238.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 238.00-239.00 sec  24.2 KBytes   199 Kbits/sec
[  1] 239.00-240.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 240.00-241.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 241.00-242.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 242.00-243.00 sec  34.2 KBytes   280 Kbits/sec
[  1] 243.00-244.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 244.00-245.00 sec  27.1 KBytes   222 Kbits/sec
