--- CMD: ifconfig ---
ifconfig
wlan0	Link encap:Ethernet HWaddr 30:ed:a0:f3:f7:b0 at RUNNING mtu 1500
	inet addr:192.168.1.60 DRaddr:192.168.1.1 Mask:255.255.255.0

nsh> [K
nsh> [K
--- CMD: iperf2 -s -p 5001 -i 1 & ---
iperf2 -s -p 5001 -i 1 &
iperf2 [25:101]
nsh> [K
nsh> [K------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: -1.00 Byte (WARNING: requested 16.0 KByte)
------------------------------------------------------------
[CPU0] tcp_setsockopt: ERROR: TCP_NODELAY not supported
tcpnodelay failed: Invalid system call number
[  1] local 192.168.1.60 port 5001 connected with 192.168.1.29 port 13810
[ ID] Interval       Transfer     Bandwidth
[  1] 152.00-153.00 sec   310 KBytes  2.54 Mbits/sec
[  1] 153.00-154.00 sec   374 KBytes  3.07 Mbits/sec
[  1] 154.00-155.00 sec   373 KBytes  3.06 Mbits/sec
[  1] 155.00-156.00 sec   394 KBytes  3.23 Mbits/sec
[  1] 156.00-157.00 sec   299 KBytes  2.45 Mbits/sec
[  1] 157.00-158.00 sec   233 KBytes  1.91 Mbits/sec
[  1] 158.00-159.00 sec   273 KBytes  2.23 Mbits/sec
[  1] 159.00-160.00 sec   230 KBytes  1.88 Mbits/sec
[  1] 160.00-161.00 sec   242 KBytes  1.98 Mbits/sec
[  1] 161.00-162.00 sec   279 KBytes  2.29 Mbits/sec
[  1] 162.00-163.00 sec   248 KBytes  2.03 Mbits/sec
[  1] 163.00-164.00 sec   238 KBytes  1.95 Mbits/sec
[  1] 164.00-165.00 sec   278 KBytes  2.27 Mbits/sec
[  1] 165.00-166.00 sec   250 KBytes  2.05 Mbits/sec
[  1] 166.00-167.00 sec   126 KBytes  1.03 Mbits/sec
[  1] 167.00-168.00 sec  11.3 KBytes  92.9 Kbits/sec
[  1] 168.00-169.00 sec   117 KBytes   958 Kbits/sec
[  1] 169.00-170.00 sec   230 KBytes  1.88 Mbits/sec
[  1] 170.00-171.00 sec   213 KBytes  1.74 Mbits/sec
[  1] 171.00-172.00 sec   199 KBytes  1.63 Mbits/sec
[  1] 172.00-173.00 sec   111 KBytes   907 Kbits/sec
[  1] 173.00-174.00 sec  79.8 KBytes   654 Kbits/sec
[  1] 174.00-175.00 sec   140 KBytes  1.15 Mbits/sec
[  1] 175.00-176.00 sec   128 KBytes  1.05 Mbits/sec
[  1] 176.00-177.00 sec   153 KBytes  1.25 Mbits/sec
[  1] 177.00-178.00 sec   112 KBytes   919 Kbits/sec
[  1] 178.00-179.00 sec   160 KBytes  1.31 Mbits/sec
[  1] 179.00-180.00 sec   165 KBytes  1.35 Mbits/sec
[  1] 180.00-181.00 sec   159 KBytes  1.31 Mbits/sec
[  1] 181.00-182.00 sec   119 KBytes   976 Kbits/sec
[  1] 182.00-183.00 sec   153 KBytes  1.25 Mbits/sec
[  1] 183.00-184.00 sec   274 KBytes  2.24 Mbits/sec
[  1] 184.00-185.00 sec   124 KBytes  1.01 Mbits/sec
[  1] 185.00-186.00 sec  93.6 KBytes   767 Kbits/sec
[  1] 186.00-187.00 sec  71.1 KBytes   582 Kbits/sec
[  1] 187.00-188.00 sec   113 KBytes   926 Kbits/sec
[  1] 188.00-189.00 sec   144 KBytes  1.18 Mbits/sec
[  1] 189.00-190.00 sec   236 KBytes  1.93 Mbits/sec
[  1] 190.00-191.00 sec   251 KBytes  2.05 Mbits/sec
[  1] 191.00-192.00 sec   248 KBytes  2.03 Mbits/sec
[  1] 192.00-193.00 sec   227 KBytes  1.86 Mbits/sec
[  1] 193.00-194.00 sec   302 KBytes  2.47 Mbits/sec
[  1] 194.00-195.00 sec   358 KBytes  2.93 Mbits/sec
[  1] 195.00-196.00 sec   312 KBytes  2.55 Mbits/sec
[  1] 196.00-197.00 sec   304 KBytes  2.49 Mbits/sec
[  1] 197.00-198.00 sec  1.42 KBytes  11.6 Kbits/sec
[  1] 198.00-199.00 sec  27.7 KBytes   227 Kbits/sec
[  1] 199.00-200.00 sec  58.1 KBytes   476 Kbits/sec
[  1] 200.00-201.00 sec   251 KBytes  2.05 Mbits/sec
[  1] 201.00-202.00 sec   203 KBytes  1.66 Mbits/sec
[  1] 202.00-203.00 sec   280 KBytes  2.29 Mbits/sec
[  1] 203.00-204.00 sec   318 KBytes  2.61 Mbits/sec
[  1] 204.00-205.00 sec   291 KBytes  2.38 Mbits/sec
