------------------------------------------------------------
Server listening on TCP port 5002
TCP window size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5002 connected with 192.168.1.60 port 14110
[ ID] Interval       Transfer     Bandwidth
[  2] 191.00-192.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 192.00-193.00 sec  31.4 KBytes   257 Kbits/sec
[  2] 193.00-194.00 sec  31.4 KBytes   257 Kbits/sec
[  2] 194.00-195.00 sec  32.8 KBytes   269 Kbits/sec
[  2] 195.00-196.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 196.00-197.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 197.00-198.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 198.00-199.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 199.00-200.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 200.00-201.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 201.00-202.00 sec  18.5 KBytes   152 Kbits/sec
[  2] 202.00-203.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 203.00-204.00 sec  31.4 KBytes   257 Kbits/sec
[  2] 204.00-205.00 sec  32.8 KBytes   269 Kbits/sec
[  2] 205.00-206.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 206.00-207.00 sec  35.6 KBytes   292 Kbits/sec
[  2] 207.00-208.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 208.00-209.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 209.00-210.00 sec  35.6 KBytes   292 Kbits/sec
[  2] 210.00-211.00 sec  42.8 KBytes   350 Kbits/sec
[  2] 211.00-212.00 sec  41.3 KBytes   339 Kbits/sec
[  2] 212.00-213.00 sec  38.5 KBytes   315 Kbits/sec
[  2] 213.00-214.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 214.00-215.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 215.00-216.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 216.00-217.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 217.00-218.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 218.00-219.00 sec  44.2 KBytes   362 Kbits/sec
[  2] 219.00-220.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 220.00-221.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 221.00-222.00 sec  38.5 KBytes   315 Kbits/sec
[  2] 222.00-223.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 223.00-224.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 224.00-225.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 225.00-226.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 226.00-227.00 sec  42.8 KBytes   350 Kbits/sec
[  2] 227.00-228.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 228.00-229.00 sec  38.5 KBytes   315 Kbits/sec
[  2] 229.00-230.00 sec  44.2 KBytes   362 Kbits/sec
[  2] 230.00-231.00 sec  31.4 KBytes   257 Kbits/sec
[  2] 231.00-232.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 232.00-233.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 233.00-234.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 234.00-235.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 235.00-236.00 sec  48.5 KBytes   397 Kbits/sec
[  2] 236.00-237.00 sec  31.4 KBytes   257 Kbits/sec
[  2] 237.00-238.00 sec  42.8 KBytes   350 Kbits/sec
[  2] 238.00-239.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 239.00-240.00 sec  35.6 KBytes   292 Kbits/sec
[  2] 240.00-241.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 241.00-242.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 242.00-243.00 sec  38.5 KBytes   315 Kbits/sec
[  2] 243.00-244.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 244.00-245.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 245.00-246.00 sec  32.8 KBytes   269 Kbits/sec
[  2] 246.00-247.00 sec  45.6 KBytes   374 Kbits/sec
[  2] 247.00-248.00 sec  35.6 KBytes   292 Kbits/sec
[  2] 248.00-249.00 sec  42.8 KBytes   350 Kbits/sec
[  2] 249.00-250.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 250.00-251.00 sec  44.2 KBytes   362 Kbits/sec
[  2] 251.00-252.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 252.00-253.00 sec  41.3 KBytes   339 Kbits/sec
[  2] 253.00-254.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 254.00-255.00 sec  32.8 KBytes   269 Kbits/sec
[  2] 255.00-256.00 sec  41.3 KBytes   339 Kbits/sec
[  2] 256.00-257.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 257.00-258.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 258.00-259.00 sec  38.5 KBytes   315 Kbits/sec
[  2] 259.00-260.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 260.00-261.00 sec  51.3 KBytes   420 Kbits/sec
[  2] 261.00-262.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 262.00-263.00 sec  32.8 KBytes   269 Kbits/sec
[  2] 263.00-264.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 264.00-265.00 sec  27.1 KBytes   222 Kbits/sec
[  2] 265.00-266.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 266.00-267.00 sec  35.6 KBytes   292 Kbits/sec
[  2] 267.00-268.00 sec  38.5 KBytes   315 Kbits/sec
