------------------------------------------------------------
Server listening on UDP port 5004
UDP buffer size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5004 connected with 192.168.1.60 port 18861
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 118.00-119.00 sec   491 KBytes  4.02 Mbits/sec   3.316 ms 0/342 (0%)
[  1] 119.00-120.00 sec   491 KBytes  4.02 Mbits/sec   3.724 ms 0/342 (0%)
[  1] 120.00-121.00 sec   435 KBytes  3.56 Mbits/sec   3.886 ms 0/303 (0%)
[  1] 121.00-122.00 sec   528 KBytes  4.33 Mbits/sec   3.119 ms 0/368 (0%)
[  1] 122.00-123.00 sec   500 KBytes  4.09 Mbits/sec   3.584 ms 0/348 (0%)
[  1] 123.00-124.00 sec   479 KBytes  3.93 Mbits/sec   3.465 ms 0/334 (0%)
[  1] 124.00-125.00 sec   495 KBytes  4.06 Mbits/sec   4.687 ms 0/345 (0%)
[  1] 125.00-126.00 sec   495 KBytes  4.06 Mbits/sec   3.840 ms 0/345 (0%)
[  1] 126.00-127.00 sec   497 KBytes  4.07 Mbits/sec   3.970 ms 0/346 (0%)
[  1] 127.00-128.00 sec   477 KBytes  3.90 Mbits/sec   4.644 ms 0/332 (0%)
[  1] 128.00-129.00 sec   500 KBytes  4.09 Mbits/sec   4.170 ms 0/348 (0%)
[  1] 129.00-130.00 sec   477 KBytes  3.90 Mbits/sec   3.270 ms 0/332 (0%)
[  1] 130.00-131.00 sec   488 KBytes  4.00 Mbits/sec   4.653 ms 0/340 (0%)
[  1] 131.00-132.00 sec   494 KBytes  4.05 Mbits/sec   3.814 ms 0/344 (0%)
[  1] 131.00-132.00 sec  2 datagrams received out-of-order
[  1] 132.00-133.00 sec   504 KBytes  4.13 Mbits/sec   2.995 ms 0/351 (0%)
[  1] 133.00-134.00 sec   398 KBytes  3.26 Mbits/sec   4.435 ms 0/277 (0%)
[  1] 133.00-134.00 sec  1 datagrams received out-of-order
[  1] 134.00-135.00 sec   500 KBytes  4.09 Mbits/sec   5.317 ms 0/348 (0%)
[  1] 135.00-136.00 sec   520 KBytes  4.26 Mbits/sec   3.066 ms 0/362 (0%)
[  1] 135.00-136.00 sec  1 datagrams received out-of-order
[  1] 136.00-137.00 sec   474 KBytes  3.88 Mbits/sec   3.829 ms 0/330 (0%)
[  1] 136.00-137.00 sec  3 datagrams received out-of-order
[  1] 137.00-138.00 sec   345 KBytes  2.82 Mbits/sec   9.057 ms 0/240 (0%)
[  1] 137.00-138.00 sec  3 datagrams received out-of-order
[  1] 138.00-139.00 sec   524 KBytes  4.29 Mbits/sec   3.834 ms 0/365 (0%)
[  1] 139.00-140.00 sec   490 KBytes  4.01 Mbits/sec   4.087 ms 0/341 (0%)
[  1] 140.00-141.00 sec   502 KBytes  4.12 Mbits/sec   4.592 ms 0/350 (0%)
[  1] 141.00-142.00 sec   517 KBytes  4.23 Mbits/sec   3.420 ms 0/360 (0%)
[  1] 142.00-143.00 sec   468 KBytes  3.83 Mbits/sec   3.179 ms 0/326 (0%)
[  1] 142.00-143.00 sec  8 datagrams received out-of-order
[  1] 143.00-144.00 sec   490 KBytes  4.01 Mbits/sec   4.185 ms 0/341 (0%)
[  1] 144.00-145.00 sec   495 KBytes  4.06 Mbits/sec   3.663 ms 0/345 (0%)
[  1] 145.00-146.00 sec   487 KBytes  3.99 Mbits/sec   3.639 ms 0/339 (0%)
[  1] 146.00-147.00 sec   501 KBytes  4.10 Mbits/sec   4.030 ms 0/349 (0%)
[  1] 147.00-148.00 sec   484 KBytes  3.96 Mbits/sec   3.402 ms 0/337 (0%)
[  1] 148.00-149.00 sec   487 KBytes  3.99 Mbits/sec   4.223 ms 0/339 (0%)
[  1] 149.00-150.00 sec   494 KBytes  4.05 Mbits/sec   3.516 ms 0/344 (0%)
[  1] 150.00-151.00 sec   494 KBytes  4.05 Mbits/sec   4.035 ms 0/344 (0%)
[  1] 151.00-152.00 sec   455 KBytes  3.73 Mbits/sec   3.803 ms 0/317 (0%)
[  1] 152.00-153.00 sec   478 KBytes  3.92 Mbits/sec   3.249 ms 0/333 (0%)
[  1] 153.00-154.00 sec   487 KBytes  3.99 Mbits/sec   4.130 ms 0/339 (0%)
[  1] 154.00-155.00 sec   511 KBytes  4.19 Mbits/sec   3.141 ms 0/356 (0%)
[  1] 155.00-156.00 sec   490 KBytes  4.01 Mbits/sec   3.219 ms 0/341 (0%)
[  1] 156.00-157.00 sec   498 KBytes  4.08 Mbits/sec   3.617 ms 0/347 (0%)
[  1] 157.00-158.00 sec   485 KBytes  3.97 Mbits/sec   3.827 ms 0/338 (0%)
[  1] 158.00-159.00 sec   512 KBytes  4.20 Mbits/sec   3.547 ms 0/357 (0%)
[  1] 159.00-160.00 sec   495 KBytes  4.06 Mbits/sec   3.853 ms 0/345 (0%)
[  1] 160.00-161.00 sec   501 KBytes  4.10 Mbits/sec   3.301 ms 0/349 (0%)
[  1] 161.00-162.00 sec   497 KBytes  4.07 Mbits/sec   2.979 ms 0/346 (0%)
[  1] 162.00-163.00 sec   488 KBytes  4.00 Mbits/sec   3.606 ms 0/340 (0%)
[  1] 163.00-164.00 sec   478 KBytes  3.92 Mbits/sec   3.797 ms 0/333 (0%)
[  1] 164.00-165.00 sec   487 KBytes  3.99 Mbits/sec   3.526 ms 0/339 (0%)
[  1] 164.00-165.00 sec  1 datagrams received out-of-order
[  1] 165.00-166.00 sec   474 KBytes  3.88 Mbits/sec   4.170 ms 0/330 (0%)
[  1] 166.00-167.00 sec   492 KBytes  4.03 Mbits/sec   3.451 ms 0/343 (0%)
[  1] 167.00-168.00 sec   474 KBytes  3.88 Mbits/sec   3.860 ms 0/330 (0%)
[  1] 168.00-169.00 sec   525 KBytes  4.30 Mbits/sec   4.072 ms 0/366 (0%)
[  1] 169.00-170.00 sec   468 KBytes  3.83 Mbits/sec   4.015 ms 0/326 (0%)
[  1] 170.00-171.00 sec   501 KBytes  4.10 Mbits/sec   3.667 ms 0/349 (0%)
[  1] 171.00-172.00 sec   497 KBytes  4.07 Mbits/sec   3.824 ms 0/346 (0%)
[  1] 172.00-173.00 sec   478 KBytes  3.92 Mbits/sec   3.603 ms 0/333 (0%)
[  1] 173.00-174.00 sec   477 KBytes  3.90 Mbits/sec   5.118 ms 0/332 (0%)
[  1] 174.00-175.00 sec   482 KBytes  3.95 Mbits/sec   4.750 ms 0/336 (0%)
[  1] 175.00-176.00 sec   492 KBytes  4.03 Mbits/sec   3.640 ms 0/343 (0%)
[  1] 176.00-177.00 sec   500 KBytes  4.09 Mbits/sec   3.794 ms 0/348 (0%)
[  1] 177.00-178.00 sec   478 KBytes  3.92 Mbits/sec   3.866 ms 0/333 (0%)
[  1] 178.00-179.00 sec   497 KBytes  4.07 Mbits/sec   4.294 ms 0/346 (0%)
[  1] 179.00-180.00 sec   478 KBytes  3.92 Mbits/sec   3.118 ms 0/333 (0%)
[  1] 180.00-181.00 sec   485 KBytes  3.97 Mbits/sec   3.719 ms 0/338 (0%)
[  1] 181.00-182.00 sec   475 KBytes  3.89 Mbits/sec   4.206 ms 0/331 (0%)
[  1] 182.00-183.00 sec   479 KBytes  3.93 Mbits/sec   4.157 ms 0/334 (0%)
[  1] 183.00-184.00 sec   475 KBytes  3.89 Mbits/sec   4.643 ms 0/331 (0%)
[  1] 184.00-185.00 sec   505 KBytes  4.14 Mbits/sec   3.296 ms 0/352 (0%)
[  1] 184.00-185.00 sec  4 datagrams received out-of-order
[  1] 185.00-186.00 sec   508 KBytes  4.16 Mbits/sec   3.493 ms 0/354 (0%)
[  1] 186.00-187.00 sec   481 KBytes  3.94 Mbits/sec   4.211 ms 0/335 (0%)
[  1] 187.00-188.00 sec   502 KBytes  4.12 Mbits/sec   3.965 ms 0/350 (0%)
[  1] 188.00-189.00 sec   497 KBytes  4.07 Mbits/sec   3.883 ms 0/346 (0%)
[  1] 189.00-190.00 sec   442 KBytes  3.62 Mbits/sec   6.310 ms 0/308 (0%)
[  1] 189.00-190.00 sec  2 datagrams received out-of-order
[  1] 190.00-191.00 sec   488 KBytes  4.00 Mbits/sec   5.108 ms 0/340 (0%)
[  1] 190.00-191.00 sec  1 datagrams received out-of-order
[  1] 191.00-192.00 sec   492 KBytes  4.03 Mbits/sec   4.589 ms 0/343 (0%)
[  1] 192.00-193.00 sec   492 KBytes  4.03 Mbits/sec   2.466 ms 0/343 (0%)
[  1] 192.00-193.00 sec  3 datagrams received out-of-order
[  1] 193.00-194.00 sec   505 KBytes  4.14 Mbits/sec   3.025 ms 0/352 (0%)
[  1] 194.00-195.00 sec   487 KBytes  3.99 Mbits/sec   4.572 ms 0/339 (0%)
[  1] 195.00-196.00 sec   457 KBytes  3.74 Mbits/sec   6.886 ms 0/318 (0%)
[  1] 196.00-197.00 sec   501 KBytes  4.10 Mbits/sec   6.208 ms 0/349 (0%)
[  1] 196.00-197.00 sec  3 datagrams received out-of-order
[  1] 197.00-198.00 sec   313 KBytes  2.56 Mbits/sec  12.176 ms 0/218 (0%)
[  1] 198.00-199.00 sec   184 KBytes  1.51 Mbits/sec  13.750 ms 0/128 (0%)
[  1] 198.00-199.00 sec  1 datagrams received out-of-order
[  1] 199.00-200.00 sec   156 KBytes  1.28 Mbits/sec   6.183 ms 0/109 (0%)
[  1] 200.00-201.00 sec  60.3 KBytes   494 Kbits/sec  19.684 ms 0/42 (0%)
[  1] 201.00-202.00 sec   121 KBytes   988 Kbits/sec  14.766 ms 0/84 (0%)
[  1] 202.00-203.00 sec  51.7 KBytes   423 Kbits/sec  28.034 ms 0/36 (0%)
[  1] 203.00-204.00 sec   234 KBytes  1.92 Mbits/sec   5.805 ms 0/163 (0%)
[  1] 204.00-205.00 sec   425 KBytes  3.48 Mbits/sec   5.347 ms 0/296 (0%)
[  1] 204.00-205.00 sec  1 datagrams received out-of-order
[  1] 205.00-206.00 sec   459 KBytes  3.76 Mbits/sec   7.222 ms 0/320 (0%)
[  1] 205.00-206.00 sec  5 datagrams received out-of-order
[  1] 206.00-207.00 sec   161 KBytes  1.32 Mbits/sec  20.132 ms 0/112 (0%)
[  1] 206.00-207.00 sec  1 datagrams received out-of-order
[  1] 207.00-208.00 sec   105 KBytes   858 Kbits/sec  22.577 ms 0/73 (0%)
[  1] 208.00-209.00 sec   105 KBytes   858 Kbits/sec  21.159 ms 1/74 (1.4%)
[  1] 209.00-210.00 sec   141 KBytes  1.15 Mbits/sec  14.384 ms 0/98 (0%)
[  1] 210.00-211.00 sec  57.4 KBytes   470 Kbits/sec  29.103 ms 0/40 (0%)
[  1] 211.00-212.00 sec   202 KBytes  1.66 Mbits/sec  11.662 ms 0/141 (0%)
[  1] 212.00-213.00 sec   144 KBytes  1.18 Mbits/sec  14.957 ms 0/100 (0%)
[  1] 213.00-214.00 sec   135 KBytes  1.11 Mbits/sec   9.359 ms 0/94 (0%)
[  1] 214.00-215.00 sec   126 KBytes  1.03 Mbits/sec   9.712 ms 0/88 (0%)
[  1] 215.00-216.00 sec  84.7 KBytes   694 Kbits/sec  25.667 ms 0/59 (0%)
[  1] 216.00-217.00 sec   169 KBytes  1.39 Mbits/sec   6.280 ms 0/118 (0%)
[  1] 217.00-218.00 sec   119 KBytes   976 Kbits/sec  17.939 ms 0/83 (0%)
[  1] 218.00-219.00 sec   165 KBytes  1.35 Mbits/sec  13.918 ms 0/115 (0%)
[  1] 219.00-220.00 sec   158 KBytes  1.29 Mbits/sec   6.194 ms 0/110 (0%)
[  1] 220.00-221.00 sec  56.0 KBytes   459 Kbits/sec  18.831 ms 1/40 (2.5%)
[  1] 221.00-222.00 sec   103 KBytes   847 Kbits/sec  28.897 ms 1/73 (1.4%)
[  1] 222.00-223.00 sec   154 KBytes  1.26 Mbits/sec  13.187 ms 0/107 (0%)
[  1] 223.00-224.00 sec   118 KBytes   964 Kbits/sec  14.390 ms 0/82 (0%)
[  1] 224.00-225.00 sec   135 KBytes  1.11 Mbits/sec  11.895 ms 1/95 (1.1%)
[  1] 225.00-226.00 sec  47.4 KBytes   388 Kbits/sec  29.413 ms 0/33 (0%)
[  1] 226.00-227.00 sec   177 KBytes  1.45 Mbits/sec   9.618 ms 1/124 (0.81%)
[  1] 227.00-228.00 sec   102 KBytes   835 Kbits/sec  18.749 ms 0/71 (0%)
[  1] 228.00-229.00 sec   126 KBytes  1.03 Mbits/sec  13.463 ms 0/88 (0%)
[  1] 229.00-230.00 sec   165 KBytes  1.35 Mbits/sec   7.230 ms 0/115 (0%)
[  1] 230.00-231.00 sec  81.8 KBytes   670 Kbits/sec  17.127 ms 0/57 (0%)
[  1] 231.00-232.00 sec   172 KBytes  1.41 Mbits/sec   7.120 ms 0/120 (0%)
[  1] 232.00-233.00 sec   167 KBytes  1.36 Mbits/sec   9.667 ms 0/116 (0%)
[  1] 233.00-234.00 sec   155 KBytes  1.27 Mbits/sec  17.068 ms 0/108 (0%)
[  1] 234.00-235.00 sec  91.9 KBytes   753 Kbits/sec  20.873 ms 0/64 (0%)
[  1] 235.00-236.00 sec   111 KBytes   906 Kbits/sec  17.279 ms 0/77 (0%)
[  1] 236.00-237.00 sec  25.8 KBytes   212 Kbits/sec  43.324 ms 0/18 (0%)
[  1] 237.00-238.00 sec  94.7 KBytes   776 Kbits/sec  31.841 ms 0/66 (0%)
[  1] 238.00-239.00 sec  35.9 KBytes   294 Kbits/sec  31.551 ms 0/25 (0%)
[  1] 239.00-240.00 sec  8.61 KBytes  70.6 Kbits/sec  29.988 ms 0/6 (0%)
[  1] 240.00-241.00 sec  25.8 KBytes   212 Kbits/sec  52.945 ms 2/20 (10%)
[  1] 241.00-242.00 sec  2.87 KBytes  23.5 Kbits/sec  114.849 ms 1/3 (33%)
[  1] 242.00-243.00 sec  28.7 KBytes   235 Kbits/sec  53.440 ms 0/20 (0%)
[  1] 243.00-244.00 sec  57.4 KBytes   470 Kbits/sec  48.118 ms 1/41 (2.4%)
[  1] 244.00-245.00 sec  94.7 KBytes   776 Kbits/sec  15.406 ms 0/66 (0%)
[  1] 245.00-246.00 sec   154 KBytes  1.26 Mbits/sec   6.252 ms 0/107 (0%)
[  1] 246.00-247.00 sec   221 KBytes  1.81 Mbits/sec   6.221 ms 0/154 (0%)
[  1] 247.00-248.00 sec   225 KBytes  1.85 Mbits/sec   8.031 ms 0/157 (0%)
[  1] 248.00-249.00 sec   251 KBytes  2.06 Mbits/sec   7.293 ms 0/175 (0%)
[  1] 249.00-250.00 sec   442 KBytes  3.62 Mbits/sec   3.835 ms 0/308 (0%)
[  1] 250.00-251.00 sec   492 KBytes  4.03 Mbits/sec   5.137 ms 0/343 (0%)
[  1] 251.00-252.00 sec   501 KBytes  4.10 Mbits/sec   4.230 ms 0/349 (0%)
[  1] 252.00-253.00 sec   477 KBytes  3.90 Mbits/sec   3.250 ms 0/332 (0%)
[  1] 253.00-254.00 sec   475 KBytes  3.89 Mbits/sec   5.319 ms 0/331 (0%)
[  1] 254.00-255.00 sec   491 KBytes  4.02 Mbits/sec   4.238 ms 0/342 (0%)
[  1] 255.00-256.00 sec   477 KBytes  3.90 Mbits/sec   4.480 ms 0/332 (0%)
[  1] 256.00-257.00 sec   508 KBytes  4.16 Mbits/sec   3.871 ms 0/354 (0%)
