------------------------------------------------------------
Server listening on TCP port 5002
TCP window size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5002 connected with 192.168.1.60 port 22320
[ ID] Interval       Transfer     Bandwidth
[  1] 222.00-223.00 sec   191 KBytes  1.56 Mbits/sec
[  1] 223.00-224.00 sec   185 KBytes  1.51 Mbits/sec
[  1] 224.00-225.00 sec   179 KBytes  1.47 Mbits/sec
[  1] 225.00-226.00 sec   170 KBytes  1.40 Mbits/sec
[  1] 226.00-227.00 sec   151 KBytes  1.24 Mbits/sec
[  1] 227.00-228.00 sec   169 KBytes  1.38 Mbits/sec
[  1] 228.00-229.00 sec   183 KBytes  1.50 Mbits/sec
[  1] 229.00-230.00 sec   198 KBytes  1.62 Mbits/sec
[  1] 230.00-231.00 sec   170 KBytes  1.40 Mbits/sec
[  1] 231.00-232.00 sec   170 KBytes  1.40 Mbits/sec
[  1] 232.00-233.00 sec   202 KBytes  1.65 Mbits/sec
[  1] 233.00-234.00 sec   185 KBytes  1.51 Mbits/sec
[  1] 234.00-235.00 sec   203 KBytes  1.67 Mbits/sec
[  1] 235.00-236.00 sec   186 KBytes  1.53 Mbits/sec
[  1] 236.00-237.00 sec   196 KBytes  1.61 Mbits/sec
[  1] 237.00-238.00 sec   181 KBytes  1.48 Mbits/sec
[  1] 238.00-239.00 sec   183 KBytes  1.50 Mbits/sec
[  1] 239.00-240.00 sec   166 KBytes  1.36 Mbits/sec
[  1] 240.00-241.00 sec   193 KBytes  1.58 Mbits/sec
[  1] 241.00-242.00 sec   155 KBytes  1.27 Mbits/sec
[  1] 242.00-243.00 sec   209 KBytes  1.72 Mbits/sec
[  1] 243.00-244.00 sec   207 KBytes  1.69 Mbits/sec
[  1] 244.00-245.00 sec   208 KBytes  1.70 Mbits/sec
[  1] 245.00-246.00 sec   192 KBytes  1.57 Mbits/sec
[  1] 246.00-247.00 sec   193 KBytes  1.58 Mbits/sec
[  1] 247.00-248.00 sec   200 KBytes  1.64 Mbits/sec
[  1] 248.00-249.00 sec   202 KBytes  1.65 Mbits/sec
[  1] 249.00-250.00 sec   192 KBytes  1.57 Mbits/sec
[  1] 250.00-251.00 sec   224 KBytes  1.84 Mbits/sec
[  1] 251.00-252.00 sec   213 KBytes  1.74 Mbits/sec
[  1] 252.00-253.00 sec   219 KBytes  1.80 Mbits/sec
[  1] 253.00-254.00 sec   224 KBytes  1.84 Mbits/sec
[  1] 254.00-255.00 sec   209 KBytes  1.72 Mbits/sec
[  1] 255.00-256.00 sec   209 KBytes  1.72 Mbits/sec
[  1] 256.00-257.00 sec   212 KBytes  1.74 Mbits/sec
[  1] 257.00-258.00 sec   249 KBytes  2.04 Mbits/sec
[  1] 258.00-259.00 sec   214 KBytes  1.75 Mbits/sec
[  1] 259.00-260.00 sec   273 KBytes  2.24 Mbits/sec
[  1] 260.00-261.00 sec   266 KBytes  2.18 Mbits/sec
[  1] 261.00-262.00 sec   246 KBytes  2.01 Mbits/sec
[  1] 262.00-263.00 sec   287 KBytes  2.35 Mbits/sec
[  1] 263.00-264.00 sec   224 KBytes  1.84 Mbits/sec
[  1] 264.00-265.00 sec   273 KBytes  2.24 Mbits/sec
[  1] 265.00-266.00 sec   212 KBytes  1.74 Mbits/sec
[  1] 266.00-267.00 sec   253 KBytes  2.08 Mbits/sec
[  1] 267.00-268.00 sec   227 KBytes  1.86 Mbits/sec
[  1] 268.00-269.00 sec   220 KBytes  1.80 Mbits/sec
[  1] 269.00-270.00 sec   245 KBytes  2.01 Mbits/sec
[  1] 270.00-271.00 sec   265 KBytes  2.17 Mbits/sec
[  1] 271.00-272.00 sec   233 KBytes  1.91 Mbits/sec
[  1] 272.00-273.00 sec   224 KBytes  1.84 Mbits/sec
[  1] 273.00-274.00 sec   221 KBytes  1.81 Mbits/sec
[  1] 274.00-275.00 sec   245 KBytes  2.00 Mbits/sec
[  1] 275.00-276.00 sec   203 KBytes  1.67 Mbits/sec
[  1] 276.00-277.00 sec   239 KBytes  1.95 Mbits/sec
[  1] 277.00-278.00 sec   247 KBytes  2.02 Mbits/sec
[  1] 278.00-279.00 sec   223 KBytes  1.83 Mbits/sec
[  1] 279.00-280.00 sec   235 KBytes  1.93 Mbits/sec
[  1] 280.00-281.00 sec   304 KBytes  2.49 Mbits/sec
[  1] 281.00-282.00 sec   227 KBytes  1.86 Mbits/sec
[  1] 282.00-283.00 sec   247 KBytes  2.03 Mbits/sec
[  1] 283.00-284.00 sec   243 KBytes  1.99 Mbits/sec
[  1] 284.00-285.00 sec   313 KBytes  2.56 Mbits/sec
[  1] 285.00-286.00 sec   281 KBytes  2.30 Mbits/sec
[  1] 286.00-287.00 sec   310 KBytes  2.54 Mbits/sec
[  1] 287.00-288.00 sec   307 KBytes  2.51 Mbits/sec
[  1] 288.00-289.00 sec   243 KBytes  1.99 Mbits/sec
[  1] 289.00-290.00 sec   282 KBytes  2.31 Mbits/sec
[  1] 290.00-291.00 sec   310 KBytes  2.54 Mbits/sec
[  1] 291.00-292.00 sec   243 KBytes  1.99 Mbits/sec
[  1] 292.00-293.00 sec   249 KBytes  2.04 Mbits/sec
[  1] 293.00-294.00 sec   266 KBytes  2.18 Mbits/sec
[  1] 294.00-295.00 sec   224 KBytes  1.84 Mbits/sec
[  1] 295.00-296.00 sec   215 KBytes  1.76 Mbits/sec
[  1] 296.00-297.00 sec   295 KBytes  2.42 Mbits/sec
[  1] 297.00-298.00 sec   281 KBytes  2.30 Mbits/sec
[  1] 298.00-299.00 sec   207 KBytes  1.69 Mbits/sec
[  1] 299.00-300.00 sec   221 KBytes  1.81 Mbits/sec
[  1] 0.00-300.05 sec  56.6 MBytes  1.58 Mbits/sec
